Imagen,Prompt,Alt
data-science_wr15.webp,"A sleek, modern classroom with white walls and metallic accents, natural light filtering through large windows casting soft shadows on polished floors, students in formal attire seated at ergonomic desks with glowing laptop screens, a teacher at the front board writing equations in chalk, data visualizations projected on a massive touchscreen, bookshelves lined with textbooks and notebooks, a digital whiteboard reflecting the glow of overhead lights, a faint haze of dust motes in the air, shadows stretching diagonally across the room, intricate details on the teacher's professional blazer, a student mid-gesture pointing at a holographic display, subtle reflections on glass surfaces, depth created by a receding hallway beyond the classroom, ambient lighting blending with the warm glow of computer monitors",Clase moderna con paredes blancas y estudiantes en ropa formal
curso-de-guitarra_fp8e.webp,"A man in his late 20s sits at a weathered wooden table under a bright window, his fingers strumming a steel-string acoustic guitar with polished mahogany body and rosewood fretboard, natural light casting soft shadows across the tablecloth and his hands, the strings glinting with a slight sheen, a stack of yellowed sheet music and a pencil lie scattered near his right hand, the laptop screen nearby displays a digital tablature tutorial with glowing text, the room's depth emphasized by the perspective of the table and the faint outline of a bookshelf in the background, the man's shirt sleeves rolled up reveal toned forearms, a faint sheen on his forehead from the sunlight, dust motes float in the air near the guitar's soundhole, a coffee mug with a steamy surface sits to his left, the wooden table's grain visible under the light, the shadows beneath the chair and table edges add depth to the scene",Hombre toca guitarra bajo luz natural
curso-de-guitarra_id18.webp,"A young person with slightly tousled chestnut hair sits at a cluttered wooden desk under a large north-facing window, fingers deftly strumming a mahogany acoustic guitar with a faded logo, the polished wood grain catching soft morning light, the strings glinting with reflections of sunlight streaming through lace curtains, the player's calloused fingertips pressed against the fretboard, shadows stretching across the worn table top where sheet music lies in disarray, a laptop open beside a stack of dog-eared guitar tabs, the floorboards beneath cast faint rectangular shadows, a single water glass half-full beside a coffee mug with a sticky residue, the air filled with the faint scent of wood varnish and coffee, the guitar's soundhole subtly vibrating with the faintest whisper of a melody, the room's depth emphasized by the blur of bookshelves in the background, each shelf holding a mix of musical instruments and art supplies, the natural light creating a warm gradient across the scene, the player's focused expression illuminated by the glow of the laptop screen, the wooden desk's surface showing faint scratches and a few scattered eraser shavings, the shadows on the floor blending with the light to create a realistic sense of three-dimensional space",Joven con cabello castaño toca guitarra madera en mesa desordenada bajo luz natural
curso-de-guitarra_d704.webp,"A young adult with tousled chestnut hair leans forward on a worn wooden chair, fingers pressing steel strings on a sun-bleached acoustic guitar, fingers calloused and slightly dirty, right hand strumming in a steady rhythm, left hand hovering near the neck, shadowy fingertips casting faint outlines on the fretboard, natural light streaming through a tall window casting soft golden highlights on the guitar's varnished surface, a laptop open on a cluttered table displaying a website with Spanish text offering free guitar tutorials, a half-empty coffee mug with steam rising beside a leather guitar strap coiled on the floor, a stack of dog-eared music sheets leaning against a stack of textbooks, a small potted fern leaning against the wall, faint dust motes floating in the shafts of light, shadows stretching diagonally across the floor from the window, the person's focused gaze fixed on the fretboard with a determined expression, the guitar's soundhole catching the light, a single guitar pick glinting near the edge of the table",Un joven toca guitarra en luz natural
curso-de-liderazgo_m9wl.webp,"A dimly lit classroom with soft natural light streaming through high windows casting long shadows on the wooden floor, students seated at rectangular desks with glossy whiteboards behind them, a diverse group of individuals wearing neutral-colored blazers and casual attire, books and laptops open on cluttered surfaces, a teacher standing at the front holding a tablet displaying course materials, a large projector screen showing a slide titled 'Leadership Transformation' in bold text, faint outlines of fingers on the screen from the teacher's hand, a clock on the wall showing 3: 45 PM, a single plant in a ceramic pot near the window with leaves slightly curled from the light, dust particles suspended in the air near the ceiling, and a faint smell of markers and paper in the atmosphere","Clase con luz natural, proyector y reloj"
curso-de-liderazgo_rtkl.webp,"A modern classroom with sunlit wooden desks arranged in a semi-circle, glossy whiteboard reflecting soft morning light, participants in crisp blouses and collared shirts leaning forward in animated discussion, a teacher gesturing with a stylus on the board, shadows stretching across the floor from large windows, textured fabric chairs with deep seating, a laptop open on a desk displaying a collaborative project interface, detailed reflections in the whiteboard surface, subtle dust motes in the air, natural light filtering through lace curtains casting faint patterns on the floor, realistic depth from the receding rows of desks, lifelike skin tones and hair textures, precise proportions in the seated figures, and ambient shadows softening the edges of the room",Discusiones en una clase moderna con luz natural
curso-de-liderazgo_1lrz.webp,"A realistic image of a sunlit classroom with wooden desks and leather chairs arranged in a circle, soft natural light filtering through sheer blinds casting faint shadows on the floor, a whiteboard with faded markers displaying notes on team collaboration and motivational strategies, a laptop screen glowing with a presentation slide showing icons of charts, icons of people working together, a coffee mug with a logo next to a notebook filled with handwritten annotations, a document camera projecting a graph onto the wall, the air slightly dusty with the scent of paper and markers, a clock on the wall showing 3: 15 PM, a person in a blazer standing at the front with a notepad, others engaged in conversation, a bookshelf in the background with titles on leadership and communication, a digital calendar on a second monitor showing upcoming sessions, and a single plant in a pot near the window with leaves slightly drooping from the heat","Aula iluminada con muebles, libros y plantas"
trabajar-y-estudiar_5jtj.webp,"A cluttered wooden desk with a laptop displaying a spreadsheet, a stack of yellow sticky notes pinned to a whiteboard, a steaming coffee mug with condensation droplets, a pen cap resting near a half-empty notebook, a pile of textbooks with spines cracked at the edges, natural light streaming through a slightly dusty window casting soft shadows across the floor, a glowing phone screen on a bedside table with a faint reflection in the glass, a calendar with handwritten reminders taped to the wall, a laptop keyboard with faint keycap wear, and a faint glow from a desk lamp highlighting the edge of a framed motivational quote","Mesita de trabajo desordenada con ordenador, notas, taza de café y libros"
trabajar-y-estudiar_x5z1.webp,"A wooden desk with a sleek laptop, scattered notebooks, and a ceramic mug steaming with coffee, illuminated by warm sunlight filtering through a sheer curtain, casting soft shadows on the floor, a person in a structured chair slouched slightly wearing a wrinkled shirt, one hand resting on a stack of textbooks, a yoga mat folded neatly beside a window with ivy creeping along the glass, a small potted plant with trailing greenery leaning against the wall, a calendar on the desk marked with deadlines, a laptop screen displaying a to-do list, faint reflections on the desk surface from the window, a faint glow from a desk lamp highlighting the edges of the stack of books, a faint breeze causing the curtain to ripple slightly, a faint dust particle dancing in the sunlight near the laptop, a faint shadow of the person's arm stretching across the desk, a faint texture of the wooden grain on the desk surface, a faint contrast between the cool laptop screen and the warm desk lighting","Escritorio con laptop, café y luz"
trabajar-y-estudiar_1qq1.webp,"A young woman sits at a cluttered desk with a laptop open on a wooden surface, her fingers typing on the keyboard while a notebook rests beside a coffee mug spilling steam, natural light streaming through a window casting soft shadows on the floor, a calendar pinned to the wall showing multiple deadlines, a stack of textbooks leaning against a chair with a faint crease from a previous page flip, a desk lamp casting a warm glow over a planner filled with handwritten notes, the air slightly hazy with the scent of coffee and paper, a faint reflection of the window in the laptop screen, a pair of glasses perched on her nose with a smudge of ink, a laptop bag slung over the chair with its straps slightly frayed, a clock on the desk showing 3: 47 PM with a faint digital glow, the walls lined with motivational quotes in varying fonts, a single potted plant wilting slightly next to the window, and a half-eaten granola bar wrapper on the desk edge",Una joven escribe en una mesa desordenada
ctrl-shift-r_0hu5.webp,"Dark monitor screen with blue glow reflecting on keyboard keys, textured plastic keycaps with faint backlighting, ambient light casting soft shadows across desk surface, slight reflections on glossy screen bezel, cables with rubber insulation draped over edge, wooden desk grain visible beneath fingers, light from window creating depth with bright highlights on keyboard edges, realistic proportions of laptop and keyboard placement, subtle dust motes in air near screen, accurate keyboard layout with precise key spacing, shadows from fingers on keycaps, detailed screen pixels visible in browser window, realistic metallic finish on monitor stand, depth created by overlapping objects and light source direction","Pantalla oscura con reflejos azules, teclado con sombras y luz natural"
ctrl-shift-r_h4h9.webp,"A close-up of a dark wooden desk with a faint grain texture, a glowing amber task light casting soft shadows on the surface, a keyboard with tactile rubberized keys showing subtle wear, the F5 key highlighted by a bright white glow, a laptop screen displaying a webpage with a loading spinner and a faint halo effect, a mouse pad with a matte finish and faint fingerprint smudges, a cable trailing from the back of the laptop with a slight bend, dust particles suspended in the air near the light source, and a faint reflection of the screen on the desk surface","Una mesa oscura con luz amarilla, teclado y pantalla cargando"
ctrl-shift-r_drn1.webp,"A keyboard with a glowing F5 key and a Ctrl+R label in contrasting colors sits on a wooden desk under a warm desk lamp casting soft shadows on the surface, the plastic keys showing faint wear and the metal frame reflecting subtle light, a laptop screen displays a browser window with a spinning loading animation, the monitor's bezel adding depth to the scene, the room's natural light filtering through a window creating soft highlights on the desk and shadows along the wall",Teclado y laptop bajo luz cálida y natural
curso-primeros-auxilios_g8rc.webp,"A person sits at a wooden desk under soft natural light filtering through a slightly dusty window, focused on a laptop screen displaying text in a clear font with faint reflections on the glass, their fingers typing on a keyboard with subtle wear and a small coffee stain near the center, a notebook open on the desk with handwritten notes in blue ink, a pen lying beside it with a metallic sheen, a potted plant with broad green leaves and soil spilling over the edge, shadows cast by the laptop extending across the desk surface, a clock on the wall showing 3: 15 PM with faint digital numbers, a stack of books on a nearby shelf with some titles visible and others obscured by a folded towel, a cable running from the laptop to a power strip hidden under the desk, and a framed certificate for a free online first aid course hanging on the wall with a slight tilt and a faint watermark in the corners",Una persona trabaja en una mesa de madera con laptop y notas
curso-primeros-auxilios_40xb.webp,"A modern study area with a wooden desk, natural light streaming through a window casting soft shadows on the floor, a laptop displaying a course interface with text in bold black font, a certificate template with a blue seal and white background, a keyboard with faint backlighting, a stack of books with frayed edges, a coffee mug with steam rising, a plant with vibrant green leaves, and a framed photo of a diverse group of people smiling against a blurred background","Estudio moderno con laptop, libros y plantas"
curso-primeros-auxilios_9u1c.webp,"A dark screen with a glowing white interface radiates soft light from its edges creating a subtle gradient of blue and purple in the background, the text Curso Gratis appears in bold sans-serif font with a semi-transparent black background, buttons with glossy textures and subtle shadows are arranged horizontally, a thin progress bar with a gradient from light blue to dark blue stretches across the bottom, a PDF file icon with a green checkmark overlay glows faintly in the upper right, the screen's corners have a slight anti-aliasing effect, ambient reflections shimmer on the surface, and a faint watermark texture simulates a paper certificate with embossed details","Pantalla oscura con texto, botones y barra de progreso resplandecientes"
circuitos-logicos_s2tr.webp,"A close-up of a circuit board with copper traces glowing faintly under a soft overhead light, logic gates in vivid orange with sharp, precise edges, wires in muted blue and red running along the board's surface, solder joints visible as tiny metallic dots, shadows cast under the gates by the light source, a faint haze of dust particles suspended in the air, a magnifying glass resting beside the board with a scratched lens, etched labels on the gates in tiny white text, a faint halo of light around a power connector, and a faint reflection of the light source on the board's glossy surface","Circuito con trazos dorados, puertas naranjas y cables azules/rojos"
circuitos-logicos_r5ur.webp,"A close-up of a circuit board with meticulously etched copper traces glowing faintly under cool LED lighting, tiny resistors and capacitors arranged in precise rows, a cluster of integrated circuits with glassy, translucent packaging, delicate wires with insulated copper cores snaking through the board, a faint shadow cast by a desk lamp illuminating solder joints and surface-mount components, a grounded metal chassis with brushed aluminum texture, a multimeter probe resting near a breadboard, a laptop screen displaying a schematic diagram with glowing text and colored logic gates, a faint haze of static electricity visible near high-voltage components, a ruler placed diagonally across the board for scale, a small LED indicator blinking in rhythmic patterns, dust particles suspended in the air near the light source, and a faint reflection of the workspace on the laptop screen","Circuito impreso con componentes, luces y reflejos"
circuitos-logicos_1286.webp,"A dark green circuit board with faint copper traces, glossy solder joints, and a matte finish, positioned at a 45-degree angle under soft overhead lighting, casting shallow shadows across its surface, precise resistor legs with brown ceramic bodies, small blue LEDs with dimly glowing faces, thin black wires with flecks of oxidation, a cluster of transistors with raised metal caps, etched labels in white ink, faint reflections on the board’s surface, a faint glow from a nearby backlight highlighting internal components, shallow depth of field emphasizing the circuit’s intricate layout, subtle dust particles on the board’s edges, and a faint halo around the LEDs",Circuito verde oscuro con LEDs bajo luz suave
